payloadsize	sign	verify
710	0.0000479071	0.0000058729
720	0.0000479279	0.0000058698
730	0.0000477852	0.0000059198
740	0.0000478384	0.0000058797
750	0.0000474639	0.0000059208
760	0.0000472957	0.0000058792
770	0.0000474884	0.0000058802
780	0.0000474566	0.0000059291
790	0.0000471988	0.0000058781
800	0.0000473337	0.0000058786
810	0.0000475045	0.0000059318
820	0.0000471295	0.0000058765
830	0.0000475321	0.0000058901
840	0.0000473196	0.0000059437
850	0.0000471639	0.0000058844
860	0.0000472077	0.0000058427
870	0.0000473754	0.0000059364
880	0.0000471931	0.0000058901
890	0.0000473946	0.0000058495
900	0.0000474764	0.0000059417
910	0.0000473691	0.0000058958
920	0.0000475050	0.0000058958
930	0.0000478004	0.0000059026
940	0.0000475129	0.0000058995
950	0.0000473446	0.0000058979
960	0.0000476259	0.0000059031
970	0.0000473566	0.0000059521
980	0.0000472717	0.0000059052
990	0.0000477701	0.0000059026
1000	0.0000474675	0.0000058984
1010	0.0000473540	0.0000060344
1020	0.0000477160	0.0000059635
1030	0.0000474186	0.0000059161
1040	0.0000477764	0.0000060417
1050	0.0000479613	0.0000059135
1060	0.0000476493	0.0000059630
1070	0.0000478592	0.0000061010
1080	0.0000480196	0.0000059229
1090	0.0000481639	0.0000058672
1100	0.0000477894	0.0000060542
1110	0.0000478535	0.0000059219
1120	0.0000480342	0.0000059687
1130	0.0000479207	0.0000059255
1140	0.0000479951	0.0000059260
1150	0.0000475936	0.0000059307
1160	0.0000474394	0.0000059833
1170	0.0000474561	0.0000059255
1180	0.0000478904	0.0000059338
1190	0.0000479024	0.0000058880
1200	0.0000478743	0.0000060713
1210	0.0000486863	0.0000059552
1220	0.0000484910	0.0000059458
1230	0.0000475832	0.0000059396
1240	0.0000472691	0.0000061187
1250	0.0000471894	0.0000059364
1260	0.0000477951	0.0000058937
1270	0.0000479639	0.0000060646
1280	0.0000477972	0.0000059953
1290	0.0000481108	0.0000059380
1300	0.0000479660	0.0000060734
1310	0.0000478040	0.0000059385
1320	0.0000481285	0.0000059422
1330	0.0000483722	0.0000059474
1340	0.0000478144	0.0000060073
1350	0.0000479087	0.0000059562
1360	0.0000479701	0.0000059562
1370	0.0000475029	0.0000059547
1380	0.0000478368	0.0000059536
1390	0.0000478457	0.0000058974
1400	0.0000475998	0.0000059672
1410	0.0000479972	0.0000059161
1420	0.0000481212	0.0000059635
1430	0.0000476248	0.0000060114
1440	0.0000475998	0.0000060932
1450	0.0000480592	0.0000059635
1460	0.0000478972	0.0000059640
1470	0.0000479363	0.0000060969
1480	0.0000476988	0.0000060198
1490	0.0000481675	0.0000059609
1500	0.0000478780	0.0000061036
1510	0.0000478753	0.0000060234
1520	0.0000476780	0.0000059604
1530	0.0000477660	0.0000059870
1540	0.0000476701	0.0000059818
1550	0.0000476337	0.0000060338
1560	0.0000477748	0.0000059854
1570	0.0000475602	0.0000059807
1580	0.0000478488	0.0000059791
1590	0.0000478660	0.0000059234
1600	0.0000476144	0.0000060151
1610	0.0000478863	0.0000059896
1620	0.0000482582	0.0000059885
1630	0.0000482707	0.0000059844
1640	0.0000475129	0.0000059833
1650	0.0000478514	0.0000060396
1660	0.0000477035	0.0000059969
1670	0.0000476181	0.0000061224
1680	0.0000479076	0.0000059943
1690	0.0000480082	0.0000059974
1700	0.0000478603	0.0000061297
1710	0.0000479071	0.0000059937
1720	0.0000478946	0.0000059963
1730	0.0000478228	0.0000060521
1740	0.0000477654	0.0000060021
1750	0.0000478504	0.0000060552
1760	0.0000466852	0.0000060078
1770	0.0000477972	0.0000059667
1780	0.0000479847	0.0000060026
1790	0.0000476306	0.0000060542
1800	0.0000477566	0.0000060125
1810	0.0000480103	0.0000059745
1820	0.0000487967	0.0000060432
1830	0.0000494097	0.0000060500
1840	0.0000480358	0.0000062963
1850	0.0000479925	0.0000059885
1860	0.0000480290	0.0000060192
1870	0.0000477904	0.0000061469
1880	0.0000477123	0.0000060708
1890	0.0000478196	0.0000059828
1900	0.0000479957	0.0000060229
1910	0.0000478102	0.0000060104
1920	0.0000478509	0.0000060281
1930	0.0000480436	0.0000060354
1940	0.0000479707	0.0000060271
1950	0.0000479878	0.0000060203
1960	0.0000479269	0.0000060302
1970	0.0000480863	0.0000059932
1980	0.0000476962	0.0000060375
1990	0.0000479873	0.0000060318
2000	0.0000480108	0.0000060328
2010	0.0000479602	0.0000061213
2020	0.0000477728	0.0000060276
2030	0.0000476863	0.0000060760
2040	0.0000477425	0.0000061791
2050	0.0000476759	0.0000060031
2060	0.0000476993	0.0000060416
2070	0.0000481009	0.0000062854
2080	0.0000477077	0.0000060906
2090	0.0000477670	0.0000059969
2100	0.0000479535	0.0000060463
2110	0.0000477561	0.0000060536
2120	0.0000482368	0.0000060578
2130	0.0000478889	0.0000061104
2140	0.0000477373	0.0000060547
2150	0.0000477332	0.0000059932
2160	0.0000479290	0.0000060552
2170	0.0000477347	0.0000060141
2180	0.0000478092	0.0000061943
2190	0.0000478931	0.0000060583
2200	0.0000476894	0.0000060573
2210	0.0000478420	0.0000062427
2220	0.0000479358	0.0000060620
2230	0.0000476863	0.0000060031
2240	0.0000477285	0.0000062016
2250	0.0000480389	0.0000060193
2260	0.0000479207	0.0000061213
2270	0.0000478295	0.0000061167
2280	0.0000476207	0.0000060625
2290	0.0000481342	0.0000060651
2300	0.0000482748	0.0000060766
2310	0.0000478660	0.0000060828
2320	0.0000477524	0.0000061255
2330	0.0000481769	0.0000061198
2340	0.0000480264	0.0000060729
2350	0.0000478587	0.0000062135
2360	0.0000478248	0.0000060844
2370	0.0000478925	0.0000060802
2380	0.0000481691	0.0000063370
2390	0.0000476227	0.0000061281
2400	0.0000476972	0.0000060854
2410	0.0000480644	0.0000062208
2420	0.0000494759	0.0000060271
2430	0.0000475071	0.0000060870
2440	0.0000487332	0.0000061531
2450	0.0000481936	0.0000061422
2460	0.0000477035	0.0000060911
2470	0.0000479566	0.0000060911
2480	0.0000480009	0.0000060901
2490	0.0000480608	0.0000061823
2500	0.0000477998	0.0000060505
2510	0.0000477628	0.0000060932
2520	0.0000480222	0.0000062281
2530	0.0000482712	0.0000061015
2540	0.0000478128	0.0000060979
2550	0.0000480066	0.0000060390
2560	0.0000482004	0.0000060568
2570	0.0000481290	0.0000061125
2580	0.0000479852	0.0000061526
2590	0.0000477056	0.0000060635
2600	0.0000480259	0.0000061104
2610	0.0000480342	0.0000061031
2620	0.0000478306	0.0000061146
2630	0.0000481123	0.0000062010
2640	0.0000480670	0.0000061156
2650	0.0000476686	0.0000061031
2660	0.0000478092	0.0000063073
2670	0.0000479837	0.0000061698
2680	0.0000477441	0.0000061245
2690	0.0000479108	0.0000062125
2700	0.0000486623	0.0000060802
2710	0.0000479410	0.0000061203
2720	0.0000483649	0.0000061140
2730	0.0000478446	0.0000061172
2740	0.0000478175	0.0000061682
2750	0.0000479681	0.0000061370
2760	0.0000479410	0.0000061307
2770	0.0000478217	0.0000062625
2780	0.0000478191	0.0000061302
2790	0.0000477863	0.0000061323
2800	0.0000477628	0.0000063114
2810	0.0000477415	0.0000061380
2820	0.0000479134	0.0000061390
2830	0.0000477472	0.0000062745
2840	0.0000480727	0.0000061364
2850	0.0000480332	0.0000061318
2860	0.0000483347	0.0000060911
2870	0.0000476144	0.0000061854
2880	0.0000477201	0.0000061489
2890	0.0000482722	0.0000061573
2900	0.0000477936	0.0000061479
2910	0.0000478524	0.0000060948
2920	0.0000482524	0.0000061474
2930	0.0000481550	0.0000061026
2940	0.0000481759	0.0000062812
2950	0.0000478988	0.0000061526
2960	0.0000476196	0.0000061515
2970	0.0000480253	0.0000063041
2980	0.0000479285	0.0000061562
2990	0.0000478420	0.0000061109
3000	0.0000483379	0.0000061661
3010	0.0000479576	0.0000061656
3020	0.0000481290	0.0000061651
3030	0.0000497472	0.0000061380
3040	0.0000477879	0.0000061146
3050	0.0000480972	0.0000071427
3060	0.0000484311	0.0000061776
3070	0.0000479764	0.0000061739
3080	0.0000478634	0.0000063083
3090	0.0000478816	0.0000062198
3100	0.0000477592	0.0000062198
3110	0.0000482024	0.0000061349
3120	0.0000477587	0.0000061750
3130	0.0000478394	0.0000062323
3140	0.0000478832	0.0000061802
3150	0.0000478977	0.0000061791
3160	0.0000478613	0.0000061812
3170	0.0000480743	0.0000061838
3180	0.0000478004	0.0000061719
3190	0.0000478675	0.0000063224
3200	0.0000478347	0.0000061432
3210	0.0000476842	0.0000061896
3220	0.0000479884	0.0000063265
3230	0.0000479519	0.0000061854
3240	0.0000478399	0.0000061896
3250	0.0000480347	0.0000061823
3260	0.0000481592	0.0000062427
3270	0.0000480217	0.0000061906
3280	0.0000479529	0.0000061495
3290	0.0000477675	0.0000061531
3300	0.0000482483	0.0000061541
3310	0.0000477384	0.0000061958
3320	0.0000478952	0.0000062021
3330	0.0000481248	0.0000064036
3340	0.0000480957	0.0000062505
3350	0.0000477743	0.0000061979
3360	0.0000479550	0.0000063437
3370	0.0000481321	0.0000062036
3380	0.0000476071	0.0000062448
3390	0.0000482639	0.0000062177
3400	0.0000477285	0.0000061651
3410	0.0000475238	0.0000062161
3420	0.0000482717	0.0000062151
3430	0.0000478660	0.0000062068
3440	0.0000478530	0.0000064781
3450	0.0000481493	0.0000062338
3460	0.0000482118	0.0000062146
3470	0.0000478951	0.0000069130
3480	0.0000479160	0.0000062224
3490	0.0000479045	0.0000062213
3500	0.0000481519	0.0000061739
3510	0.0000480399	0.0000061760
3520	0.0000481300	0.0000062187
3530	0.0000479707	0.0000062854
3540	0.0000482571	0.0000062271
3550	0.0000479483	0.0000062755
3560	0.0000483436	0.0000062260
3570	0.0000479092	0.0000062239
3580	0.0000479540	0.0000064219
3590	0.0000479655	0.0000062870
3600	0.0000479941	0.0000061979
3610	0.0000477113	0.0000063734
3620	0.0000480540	0.0000061932
3630	0.0000482941	0.0000062911
3640	0.0000481389	0.0000063078
3650	0.0000480222	0.0000062422
3660	0.0000481639	0.0000062432
3670	0.0000494894	0.0000063411
3680	0.0000482269	0.0000062995
3690	0.0000477816	0.0000063781
3700	0.0000482280	0.0000062406
3710	0.0000480826	0.0000062568
3720	0.0000488212	0.0000062120
3730	0.0000482399	0.0000062505
3740	0.0000481587	0.0000062448
3750	0.0000483014	0.0000062479
3760	0.0000480920	0.0000062505
3770	0.0000481977	0.0000063864
3780	0.0000481608	0.0000062531
3790	0.0000480082	0.0000063088
3800	0.0000478212	0.0000064500
3810	0.0000481311	0.0000062609
3820	0.0000481259	0.0000062052
3830	0.0000482404	0.0000062594
3840	0.0000478795	0.0000062687
3850	0.0000482587	0.0000063182
3860	0.0000482649	0.0000063156
3870	0.0000479727	0.0000062198
3880	0.0000478462	0.0000063995
3890	0.0000482191	0.0000062651
3900	0.0000484207	0.0000062750
3910	0.0000481582	0.0000063656
3920	0.0000479722	0.0000062312
3930	0.0000482571	0.0000062260
3940	0.0000484847	0.0000062698
3950	0.0000483248	0.0000062682
3960	0.0000486076	0.0000062390
3970	0.0000483566	0.0000062833
3980	0.0000480582	0.0000063359
3990	0.0000478925	0.0000064698
4000	0.0000480868	0.0000063291
4010	0.0000481701	0.0000062838
4020	0.0000479321	0.0000064213
4030	0.0000480425	0.0000062963
4040	0.0000482207	0.0000062448
4050	0.0000483248	0.0000063416
4060	0.0000477556	0.0000062870
4070	0.0000479790	0.0000062901
4080	0.0000484488	0.0000062927
4090	0.0000479712	0.0000063036
4100	0.0000479738	0.0000064286
4110	0.0000481962	0.0000062937
4120	0.0000482707	0.0000062953
4130	0.0000483821	0.0000063005
4140	0.0000480389	0.0000062937
4150	0.0000482321	0.0000062984
4160	0.0000484660	0.0000063635
4170	0.0000479071	0.0000063437
4180	0.0000478780	0.0000063088
4190	0.0000484066	0.0000063062
4200	0.0000482295	0.0000063057
4210	0.0000482571	0.0000063906
4220	0.0000481806	0.0000063140
4230	0.0000484472	0.0000063135
4240	0.0000484899	0.0000062844
4250	0.0000480040	0.0000063088
4260	0.0000479925	0.0000062724
4270	0.0000485238	0.0000063161
4280	0.0000491858	0.0000063469
4290	0.0000483467	0.0000064526
4300	0.0000495785	0.0000063255
4310	0.0000483113	0.0000063224
4320	0.0000482477	0.0000063224
4330	0.0000479644	0.0000063776
4340	0.0000483430	0.0000063713
4350	0.0000485274	0.0000063317
4360	0.0000480056	0.0000063771
4370	0.0000479066	0.0000064229
4380	0.0000484040	0.0000063302
4390	0.0000482358	0.0000063260
4400	0.0000484321	0.0000064771
4410	0.0000480764	0.0000063406
4420	0.0000480587	0.0000063422
4430	0.0000481701	0.0000063375
4440	0.0000478733	0.0000062911
4450	0.0000482946	0.0000063364
4460	0.0000481389	0.0000063349
4470	0.0000479467	0.0000063927
4480	0.0000482998	0.0000065354
4490	0.0000482113	0.0000063974
4500	0.0000479259	0.0000063880
4510	0.0000480472	0.0000063474
4520	0.0000483743	0.0000063432
4530	0.0000482155	0.0000063390
4540	0.0000484743	0.0000063479
4550	0.0000479712	0.0000063541
4560	0.0000479290	0.0000064864
4570	0.0000481274	0.0000064000
4580	0.0000481748	0.0000064047
4590	0.0000479806	0.0000066484
4600	0.0000479457	0.0000063682
4610	0.0000481754	0.0000063625
4620	0.0000482660	0.0000063677
4630	0.0000480332	0.0000063656
4640	0.0000481420	0.0000063182
4650	0.0000481332	0.0000063599
4660	0.0000482472	0.0000063640
4670	0.0000481899	0.0000064995
4680	0.0000480316	0.0000063703
4690	0.0000481920	0.0000063661
4700	0.0000482925	0.0000065172
4710	0.0000488071	0.0000063651
4720	0.0000481129	0.0000063672
4730	0.0000480191	0.0000064349
4740	0.0000482691	0.0000063844
4750	0.0000479248	0.0000064250
4760	0.0000476597	0.0000063812
4770	0.0000484457	0.0000063812
4780	0.0000482988	0.0000065109
4790	0.0000479832	0.0000063745
4800	0.0000480446	0.0000064344
4810	0.0000487076	0.0000063823
4820	0.0000481530	0.0000064052
4830	0.0000479269	0.0000064286
4840	0.0000481446	0.0000063937
4850	0.0000483092	0.0000064333
4860	0.0000482967	0.0000065739
4870	0.0000479743	0.0000063932
4880	0.0000479993	0.0000064005
4890	0.0000491884	0.0000064802
4900	0.0000485076	0.0000064479
4910	0.0000480774	0.0000064443
4920	0.0000483488	0.0000064078
4930	0.0000483842	0.0000064041
4940	0.0000483415	0.0000064791
4950	0.0000480790	0.0000063870
4960	0.0000481097	0.0000064068
4970	0.0000483571	0.0000065453
4980	0.0000483550	0.0000064323
4990	0.0000482722	0.0000064010
5000	0.0000481941	0.0000064687
5010	0.0000481962	0.0000064599
5020	0.0000482076	0.0000065984
5030	0.0000481170	0.0000064146
5040	0.0000481738	0.0000064614
5050	0.0000479795	0.0000066042
5060	0.0000483154	0.0000064677
5070	0.0000480571	0.0000063791
5080	0.0000483103	0.0000064250
5090	0.0000483441	0.0000064167
5100	0.0000482832	0.0000064193
5110	0.0000484373	0.0000064234
5120	0.0000481993	0.0000064276
5130	0.0000484321	0.0000065224
5140	0.0000481759	0.0000064292
5150	0.0000481332	0.0000064312
5160	0.0000485295	0.0000064260
5170	0.0000484316	0.0000064276
5180	0.0000481675	0.0000064323
5190	0.0000482295	0.0000064344
5200	0.0000483050	0.0000064375
5210	0.0000480821	0.0000065167
5220	0.0000481821	0.0000064344
5230	0.0000483670	0.0000064292
5240	0.0000486102	0.0000064443
5250	0.0000482321	0.0000064896
5260	0.0000483306	0.0000064927
5270	0.0000486165	0.0000064880
5280	0.0000483306	0.0000064349
5290	0.0000480925	0.0000066099
5300	0.0000486446	0.0000064937
5310	0.0000484248	0.0000064989
5320	0.0000485076	0.0000065000
5330	0.0000482217	0.0000064974
5340	0.0000478858	0.0000064521
5350	0.0000483644	0.0000064484
5360	0.0000481545	0.0000064510
5370	0.0000482722	0.0000065396
5380	0.0000485175	0.0000064583
5390	0.0000483379	0.0000064578
5400	0.0000483253	0.0000064651
5410	0.0000480280	0.0000064630
5420	0.0000484884	0.0000064630
5430	0.0000483087	0.0000064630
5440	0.0000480285	0.0000064666
5450	0.0000485623	0.0000065875
5460	0.0000485248	0.0000064073
5470	0.0000482998	0.0000064614
5480	0.0000480561	0.0000067687
5490	0.0000487535	0.0000065140
5500	0.0000490358	0.0000065599
5510	0.0000485753	0.0000065307
5520	0.0000482040	0.0000065276
5530	0.0000484566	0.0000067943
5540	0.0000485436	0.0000064687
5550	0.0000479925	0.0000065224
5560	0.0000484717	0.0000065458
5570	0.0000483780	0.0000064953
5580	0.0000481165	0.0000065380
5590	0.0000490608	0.0000064802
5600	0.0000484665	0.0000064797
5610	0.0000486451	0.0000066172
5620	0.0000482717	0.0000064281
5630	0.0000482509	0.0000064859
5640	0.0000485337	0.0000064890
5650	0.0000484628	0.0000064479
5660	0.0000482201	0.0000064807
5670	0.0000482826	0.0000064328
5680	0.0000484212	0.0000064833
5690	0.0000484399	0.0000066271
5700	0.0000482941	0.0000064974
5710	0.0000483800	0.0000064995
5720	0.0000489024	0.0000065578
5730	0.0000481998	0.0000065932
5740	0.0000481394	0.0000065479
5750	0.0000486029	0.0000065026
5760	0.0000481248	0.0000065651
5770	0.0000483748	0.0000066932
5780	0.0000481582	0.0000065672
5790	0.0000489248	0.0000064635
5800	0.0000485686	0.0000064974
5810	0.0000484431	0.0000065005
5820	0.0000482530	0.0000066370
5830	0.0000483269	0.0000065109
5840	0.0000484483	0.0000065125
5850	0.0000484196	0.0000066708
5860	0.0000483087	0.0000065104
5870	0.0000481727	0.0000065114
5880	0.0000487613	0.0000065245
5890	0.0000484321	0.0000064698
5900	0.0000483139	0.0000066489
5910	0.0000482540	0.0000065239
5920	0.0000487243	0.0000065719
5930	0.0000487951	0.0000065776
5940	0.0000481540	0.0000065713
5950	0.0000482207	0.0000065823
5960	0.0000486863	0.0000065255
5970	0.0000484957	0.0000065229
5980	0.0000482884	0.0000066594
5990	0.0000481623	0.0000065307
6000	0.0000483675	0.0000064797
6010	0.0000486910	0.0000065380
6020	0.0000483186	0.0000065281
6030	0.0000483092	0.0000065359
6040	0.0000487868	0.0000065349
6050	0.0000485217	0.0000065354
6060	0.0000482530	0.0000066672
6070	0.0000482665	0.0000065370
6080	0.0000484951	0.0000065469
6090	0.0000487957	0.0000065140
6100	0.0000490920	0.0000065786
6110	0.0000485217	0.0000066364
6120	0.0000486207	0.0000065406
6130	0.0000484530	0.0000065922
6140	0.0000483915	0.0000067375
6150	0.0000484269	0.0000066062
6160	0.0000481738	0.0000066099
6170	0.0000502654	0.0000065562
6180	0.0000484420	0.0000066052
6190	0.0000482967	0.0000067354
6200	0.0000482993	0.0000066083
6210	0.0000485550	0.0000066099
6220	0.0000484863	0.0000066177
6230	0.0000482535	0.0000066192
6240	0.0000484759	0.0000065547
6250	0.0000483425	0.0000066146
6260	0.0000484087	0.0000066193
6270	0.0000484608	0.0000067614
6280	0.0000482998	0.0000065687
6290	0.0000483155	0.0000065682
6300	0.0000485894	0.0000065635
6310	0.0000484076	0.0000065698
6320	0.0000483233	0.0000066312
6330	0.0000486300	0.0000065781
6340	0.0000486389	0.0000065734
6350	0.0000482821	0.0000067125
6360	0.0000483259	0.0000065791
6370	0.0000485155	0.0000065781
6380	0.0000487618	0.0000066302
6390	0.0000482842	0.0000066359
6400	0.0000485915	0.0000067156
6410	0.0000486019	0.0000065265
6420	0.0000484358	0.0000065765
6430	0.0000484118	0.0000065390
6440	0.0000485978	0.0000065849
6450	0.0000485233	0.0000065870
6460	0.0000488019	0.0000065948
6470	0.0000483295	0.0000065932
6480	0.0000485233	0.0000067271
6490	0.0000486269	0.0000065880
6500	0.0000482280	0.0000065505
6510	0.0000485056	0.0000065995
6520	0.0000485389	0.0000065573
6530	0.0000485805	0.0000067875
6540	0.0000481248	0.0000066479
6550	0.0000483368	0.0000066052
6560	0.0000484321	0.0000067901
6570	0.0000485644	0.0000066526
6580	0.0000482227	0.0000066562
6590	0.0000485326	0.0000066646
6600	0.0000484092	0.0000066651
6610	0.0000484988	0.0000067109
6620	0.0000483780	0.0000066041
6630	0.0000485644	0.0000066073
6640	0.0000487347	0.0000066083
6650	0.0000486144	0.0000066640
6660	0.0000483347	0.0000066713
6670	0.0000487076	0.0000066734
6680	0.0000486410	0.0000065588
6690	0.0000483780	0.0000067500
6700	0.0000486191	0.0000066614
6710	0.0000491321	0.0000066286
6720	0.0000487748	0.0000066302
6730	0.0000484498	0.0000065859
6740	0.0000482634	0.0000067599
6750	0.0000486420	0.0000066250
6760	0.0000485665	0.0000066739
6770	0.0000485170	0.0000066745
6780	0.0000483243	0.0000066442
6790	0.0000486415	0.0000066484
6800	0.0000487337	0.0000066344
6810	0.0000483472	0.0000066255
6820	0.0000485587	0.0000067703
6830	0.0000487404	0.0000066338
6840	0.0000485905	0.0000066922
6850	0.0000485399	0.0000066890
6860	0.0000482608	0.0000066979
6870	0.0000486795	0.0000067661
6880	0.0000486524	0.0000066052
6890	0.0000482618	0.0000066323
6900	0.0000483321	0.0000065932
6910	0.0000487660	0.0000066500
6920	0.0000484076	0.0000066521
6930	0.0000483748	0.0000066526
6940	0.0000487858	0.0000066489
6950	0.0000483842	0.0000067880
6960	0.0000482707	0.0000066526
6970	0.0000486686	0.0000066203
6980	0.0000489102	0.0000066760
6990	0.0000482222	0.0000067005
7000	0.0000482993	0.0000067969
7010	0.0000485800	0.0000067073
7020	0.0000485983	0.0000067099
7030	0.0000485196	0.0000066583
7040	0.0000481806	0.0000066656
7050	0.0000487087	0.0000066640
7060	0.0000487384	0.0000066661
7070	0.0000482957	0.0000066682
7080	0.0000486941	0.0000068021
7090	0.0000487337	0.0000066146
7100	0.0000482420	0.0000066739
7110	0.0000489467	0.0000072656
7120	0.0000487821	0.0000066792
7130	0.0000485160	0.0000068073
7140	0.0000484665	0.0000066755
7150	0.0000481800	0.0000066745
7160	0.0000488342	0.0000067312
7170	0.0000484321	0.0000067286
7180	0.0000483420	0.0000066880
7190	0.0000488087	0.0000067318
7200	0.0000485118	0.0000067364
7210	0.0000484378	0.0000068140
7220	0.0000484300	0.0000066781
7230	0.0000485806	0.0000066859
7240	0.0000488071	0.0000066911
7250	0.0000484707	0.0000066880
7260	0.0000483837	0.0000068260
7270	0.0000485441	0.0000066896
7280	0.0000485915	0.0000066922
7290	0.0000486347	0.0000067526
7300	0.0000486993	0.0000069995
7310	0.0000494675	0.0000071854
7320	0.0000485582	0.0000067531
7330	0.0000485477	0.0000066979
7340	0.0000489170	0.0000066911
7350	0.0000487420	0.0000067489
7360	0.0000488274	0.0000067547
7370	0.0000486399	0.0000066557
7380	0.0000484983	0.0000067062
7390	0.0000485608	0.0000068375
7400	0.0000483634	0.0000067088
7410	0.0000485134	0.0000067088
7420	0.0000486488	0.0000067177
7430	0.0000485363	0.0000067172
7440	0.0000488222	0.0000068489
7450	0.0000484998	0.0000067193
7460	0.0000484738	0.0000067666
7470	0.0000486394	0.0000067734
7480	0.0000482628	0.0000067776
7490	0.0000482686	0.0000067781
7500	0.0000487076	0.0000067208
7510	0.0000484681	0.0000067203
7520	0.0000485082	0.0000068651
7530	0.0000485259	0.0000066765
7540	0.0000482733	0.0000067245
7550	0.0000486394	0.0000067328
7560	0.0000471306	0.0000066885
7570	0.0000489061	0.0000069203
7580	0.0000483233	0.0000067552
7590	0.0000483660	0.0000073187
7600	0.0000485623	0.0000066802
7610	0.0000486097	0.0000067416
7620	0.0000486462	0.0000067432
7630	0.0000486254	0.0000067370
7640	0.0000484118	0.0000067390
7650	0.0000486967	0.0000069229
7660	0.0000487701	0.0000067406
7670	0.0000483993	0.0000067885
7680	0.0000486623	0.0000067375
7690	0.0000485701	0.0000067484
7700	0.0000484300	0.0000068729
7710	0.0000484311	0.0000067469
7720	0.0000486128	0.0000067469
7730	0.0000491212	0.0000067151
7740	0.0000485410	0.0000068010
7750	0.0000485050	0.0000069062
7760	0.0000487467	0.0000068094
7770	0.0000490550	0.0000067526
7780	0.0000485837	0.0000068021
7790	0.0000484733	0.0000068088
7800	0.0000486936	0.0000068193
7810	0.0000490519	0.0000067614
7820	0.0000484998	0.0000067557
7830	0.0000485384	0.0000069010
7840	0.0000487832	0.0000067635
7850	0.0000487993	0.0000067094
7860	0.0000486983	0.0000068041
7870	0.0000485373	0.0000068265
7880	0.0000486279	0.0000069792
7890	0.0000485852	0.0000067625
7900	0.0000486566	0.0000068130
7910	0.0000496701	0.0000068015
7920	0.0000484774	0.0000068161
7930	0.0000483061	0.0000069666
7940	0.0000486451	0.0000068276
7950	0.0000489988	0.0000067719
7960	0.0000487811	0.0000067307
7970	0.0000483795	0.0000067828
7980	0.0000488884	0.0000069057
7990	0.0000472415	0.0000067812
8000	0.0000485290	0.0000067854
8010	0.0000503488	0.0000067974
8020	0.0000486123	0.0000068250
8030	0.0000488014	0.0000069760
8040	0.0000485899	0.0000068344
8050	0.0000487576	0.0000068432
8060	0.0000486712	0.0000067901
8070	0.0000484061	0.0000067526
8080	0.0000486066	0.0000067901
8090	0.0000489165	0.0000067604
8100	0.0000485243	0.0000067880
8110	0.0000484722	0.0000068901
8120	0.0000485972	0.0000068479
8130	0.0000515743	0.0000068031
8140	0.0000486269	0.0000067917
8150	0.0000486670	0.0000067557
8160	0.0000485181	0.0000069406
8170	0.0000489227	0.0000067724
8180	0.0000488113	0.0000068031
8190	0.0000488050	0.0000068172
8200	0.0000487930	0.0000068036
8210	0.0000486905	0.0000069010
8220	0.0000484925	0.0000067635
8230	0.0000485014	0.0000068239
8240	0.0000485967	0.0000068068
8250	0.0000489326	0.0000067823
8260	0.0000486154	0.0000069453
8270	0.0000486254	0.0000067739
